"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824161","46.1.3","739","","","","0"
"2015","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824161","46.1.3","760","","","","0"
"2016","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824161","46.1.3","791","","","","0"
"2017","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824161","46.1.3","782","","","","0"
"2018","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824161","46.1.3","809","","","","0"
"2019","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824161","46.1.3","855","","","","0"
"2009","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824295","46.1.4","812","","","","0"
"2010","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824295","46.1.4","860","","","","0"
"2011","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824295","46.1.4","865","","","","0"
"2012","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824295","46.1.4","875","","","","0"
"2013","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824295","46.1.4","878","","","","0"
"2014","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824295","46.1.4","898","","","","0"
"2015","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824295","46.1.4","952","","","","0"
"2016","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824295","46.1.4","956","","","","0"
"2017","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824295","46.1.4","965","","","","0"
"2018","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824295","46.1.4","1007","","","","0"
"2019","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824295","46.1.4","1070","","","","0"
"2009","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824429","46.4.1","515","","","","0"
"2010","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824429","46.4.1","532","","","","0"
"2011","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824429","46.4.1","553","","","","0"
"2012","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824429","46.4.1","545","","","","0"
"2013","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824429","46.4.1","557","","","","0"
"2014","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824429","46.4.1","576","","","","0"
"2015","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824429","46.4.1","586","","","","0"
"2016","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824429","46.4.1","596","","","","0"
"2017","Montréal, Quebec","2011S0503462","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824429","46.4.1","609","","","","0"
