"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991275","19.20.7.1.6.1","","x","","","0"
"2012","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991275","19.20.7.1.6.1","","F","","","0"
"2016","Edmonton, Alberta","2011S0503835","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114991275","19.20.7.1.6.1","","F","","","0"
"1999","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994569","20.20.1.1.6.1","176300","","","","0"
"2005","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994569","20.20.1.1.6.1","218100","","","","0"
"2012","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994569","20.20.1.1.6.1","292700","","","","0"
"2016","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994569","20.20.1.1.6.1","320000","","","","0"
"1999","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994587","20.20.2.1.6.1","180600","","","","0"
"2005","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994587","20.20.2.1.6.1","220700","","","","0"
"2012","Vancouver, British Columbia","2011S0503933","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114994587","20.20.2.1.6.1","294700","","","","0"
