"Population estimates, July 1, by census metropolitan area and census agglomeration, 2016 boundaries" 1 2 3 4 5 6 7
"Annual"
"Table: 17-10-0135-01"
"Geography: Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"

"","Both sexes",,,,,,,,,,
"","All ages",,,,,,,,,,
"Geography","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","Persons",,,,,,,,,,
"Prince Rupert (CA), British Columbia","13,545","13,466","13,308","13,312","13,302","13,291","13,297","13,243","13,324","13,422","13,486"
"Terrace (CA), British Columbia","16,056","15,976","15,873","15,974","16,135","16,343","16,385","16,403","16,399","16,665","16,858"
"Prince George (CA), British Columbia","85,902","85,890","86,230","86,842","87,834","88,534","89,455","90,623","91,958","93,681","95,180"
"Dawson Creek (CA), British Columbia","11,808","11,801","11,891","12,191","12,355","12,565","12,729","12,810","12,988","13,243","13,426"
"Fort St. John (CA), British Columbia","26,879","26,902","27,272","28,315","28,901","29,567","29,890","29,808","29,786","29,927","29,923"
"Whitehorse (CA), Yukon","25,694","26,483","27,230","28,055","28,340","28,973","29,551","30,322","31,262","32,056","32,308"
"Yellowknife (CA), Northwest Territories","19,733","19,828","20,033","20,189","20,232","20,291","20,649","21,009","21,426","21,702","21,888"
"Area outside census metropolitan areas and census agglomerations, Newfoundland and Labrador","254,254","254,059","252,634","251,430","250,084","248,848","247,543","246,713","244,427","241,753","238,321"
"Area outside census metropolitan areas and census agglomerations, Prince Edward Island","59,483","59,574","59,489","59,333","58,887","58,621","58,157","58,481","58,830","59,417","60,515"
"Area outside census metropolitan areas and census agglomerations, Nova Scotia","329,316","328,999","328,134","325,895","323,069","320,993","319,567","320,021","320,308","320,213","320,355"
"Area outside census metropolitan areas and census agglomerations, New Brunswick","289,701","288,620","287,689","287,362","286,052","285,363","284,232","284,530","283,827","283,248","283,340"
"Area outside census metropolitan areas and census agglomerations, Quebec","1,524,517","1,535,831","1,542,981","1,544,456","1,544,673","1,543,735","1,543,267","1,546,906","1,553,340","1,561,598","1,569,706"
"Area outside census metropolitan areas and census agglomerations, Ontario","1,397,400","1,399,193","1,400,196","1,401,924","1,407,608","1,411,998","1,417,860","1,427,459","1,429,624","1,440,046","1,449,544"
"Area outside census metropolitan areas and census agglomerations, Manitoba","359,333","362,405","363,859","366,613","369,563","371,608","374,481","377,747","380,165","382,762","384,927"
"Area outside census metropolitan areas and census agglomerations, Saskatchewan","396,337","399,911","401,795","401,715","402,530","403,249","402,282","402,015","401,463","400,207","399,077"
"Area outside census metropolitan areas and census agglomerations, Alberta","730,628","732,522","733,846","737,350","745,963","753,085","755,418","755,712","755,415","754,899","755,102"
"Area outside census metropolitan areas and census agglomerations, British Columbia","541,084","539,494","537,529","538,128","540,725","546,694","551,536","561,093","565,907","570,747","573,877"
"Area outside census metropolitan areas and census agglomerations, Yukon","8,037","8,113","8,181","8,179","8,181","8,164","8,139","8,225","8,428","8,556","8,546"
"Area outside census metropolitan areas and census agglomerations, Northwest Territories","23,423","23,457","23,471","23,459","23,573","23,593","23,588","23,640","23,482","23,254","22,938"
"Area outside census metropolitan areas and census agglomerations, Nunavut","32,597","33,352","34,192","34,672","35,337","35,971","36,488","36,975","37,559","38,139","38,780"

Symbol legend:

Footnotes:
1,Population estimates based on the Standard Geographical Classification (SGC) 2016 as delineated in the 2016 Census.
2,"A census metropolitan area (CMA) or a census agglomeration (CA) is formed by one or more adjacent municipalities centred on a population centre (known as the core). A CMA must have a total population of at least 100,000 of which 50,000 or more must live in the core based on adjusted data from the previous Census of Population Program. A CA must have a core population of at least 10,000 also based on data from the previous Census of Population Program. To be included in the CMA or CA, other adjacent municipalities must have a high degree of integration with the core, as measured by commuting flows derived from data on place of work from the previous Census Program. If the population of the core of a CA falls below 10,000, the CA is retired from the next census. However, once an area becomes a CMA, it is retained as a CMA even if its total population declines below 100,000 or the population of its core falls below 50,000. All areas inside the CMA or CA that are not population centres are rural areas. When a CA has a core of at least 50,000, based on data from the previous Census of Population, it is subdivided into census tracts. Census tracts are maintained for the CA even if the population of the core subsequently falls below 50,000. All CMAs are subdivided into census tracts (2016 Census Dictionary, catalogue number 98-301-X2016001)."
3,An area outside census metropolitan areas and census agglomerations is made up of all areas (within a province or territory) unallocated to a census metropolitan area (CMA) or census agglomeration (CA).
4,Postcensal estimates are based on the latest census counts adjusted for census net undercoverage (including adjustment for incompletely enumerated Indian reserves) and for the estimated population growth that occurred since that census. Intercensal estimates are based on postcensal estimates and census counts adjusted of the censuses preceding and following the considered year.
5,"Population estimates as of July 1 are final intercensal up to 2015, final postcensal for 2016, updated postcensal for 2017 to 2018 and preliminary postcensal for 2019."
6,"The population growth, which is used to calculate population estimates of census metropolitan areas and census agglomerations (table 17100135), is comprised of the components of population growth (table 17100136)."
7,This table replaces table 17100078.
8,Age on July 1.

"How to cite: Statistics Canada. Table 17-10-0135-01 Population estimates, July 1, by census metropolitan area and census agglomeration, 2016 boundaries"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710013501
DOI: https://doi.org/10.25318/1710013501-eng
