"REF_DATE","GEO","DGUID","Family type","Family composition","Parent characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 65 years and over","Number","223","units","0","v21211336","14.1.3.7","36410","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 65 years and over","Number","223","units","0","v21211336","14.1.3.7","37190","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 65 years and over","Number","223","units","0","v21211336","14.1.3.7","37810","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 65 years and over","Number","223","units","0","v21211336","14.1.3.7","38730","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 65 years and over","Number","223","units","0","v21211336","14.1.3.7","39530","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 65 years and over","Number","223","units","0","v21211336","14.1.3.7","40360","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 65 years and over","Number","223","units","0","v21211336","14.1.3.7","41490","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 65 years and over","Number","223","units","0","v21211336","14.1.3.7","42040","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 65 years and over","Number","223","units","0","v21211336","14.1.3.7","43670","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Older parent aged 65 years and over","Number","223","units","0","v21211336","14.1.3.7","44250","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Median total income","Dollars","81","units","0","v21211337","14.1.3.8","59980","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Median total income","Dollars","81","units","0","v21211337","14.1.3.8","61730","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Median total income","Dollars","81","units","0","v21211337","14.1.3.8","62130","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Median total income","Dollars","81","units","0","v21211337","14.1.3.8","63090","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Median total income","Dollars","81","units","0","v21211337","14.1.3.8","65020","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Median total income","Dollars","81","units","0","v21211337","14.1.3.8","67450","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with 1 child","Median total income","Dollars","81","units","0","v21211337","14.1.3.8","69360","","","","0"
